repeat,seed,fold,selected,mode,alpha,mcc
0,6,0,False,pca64,0.001,0.4589550319806093
0,6,0,True,pca64,0.005,0.4644548537643993
0,6,0,False,pca64,0.01,0.45906910113818333
0,6,0,False,pca64,0.02,0.45923507954710424
0,6,1,False,pca64,0.001,0.4386462227963477
0,6,1,False,pca64,0.005,0.4389845457452335
0,6,1,True,pca64,0.01,0.4496219781752343
0,6,1,False,pca64,0.02,0.42321014628237796
0,6,2,False,pca64,0.001,0.4976959697581679
0,6,2,True,pca64,0.005,0.5030963943372286
0,6,2,False,pca64,0.01,0.4976959697581679
0,6,2,False,pca64,0.02,0.5027581119056783
0,6,3,False,pca64,0.001,0.4815084416406091
0,6,3,True,pca64,0.005,0.5079436178602622
0,6,3,False,pca64,0.01,0.5027581119056783
0,6,3,False,pca64,0.02,0.5030963943372286
0,6,4,False,pca64,0.001,0.44983620538929114
0,6,4,False,pca64,0.005,0.4603432354146482
0,6,4,False,pca64,0.01,0.4656149830385736
0,6,4,True,pca64,0.02,0.47092583852762865
1,17,0,False,pca64,0.001,0.5019596189132527
1,17,0,False,pca64,0.005,0.4913330029917401
1,17,0,False,pca64,0.01,0.4913330029917401
1,17,0,True,pca64,0.02,0.5022576604733571
1,17,1,False,pca64,0.001,0.42177560698366107
1,17,1,False,pca64,0.005,0.42711560726306835
1,17,1,True,pca64,0.01,0.4272198094324242
1,17,1,False,pca64,0.02,0.4219807531290619
1,17,2,False,pca64,0.001,0.41019584972040923
1,17,2,False,pca64,0.005,0.40006401536409714
1,17,2,False,pca64,0.01,0.40006401536409714
1,17,2,True,pca64,0.02,0.41578864828836404
1,17,3,False,pca64,0.001,0.5027581119056783
1,17,3,False,pca64,0.005,0.508000508000762
1,17,3,True,pca64,0.01,0.5239268745122332
1,17,3,False,pca64,0.02,0.5185838519174446
1,17,4,False,pca64,0.001,0.5450956371187881
1,17,4,False,pca64,0.005,0.5450956371187881
1,17,4,False,pca64,0.01,0.5450040603184916
1,17,4,True,pca64,0.02,0.5556800184220655
2,29,0,False,pca64,0.001,0.5338394666777905
2,29,0,False,pca64,0.005,0.5341582284519817
2,29,0,False,pca64,0.01,0.5338394666777905
2,29,0,True,pca64,0.02,0.5393061839317184
2,29,1,False,pca64,0.001,0.4593568350541897
2,29,1,False,pca64,0.005,0.46506242994439334
2,29,1,False,pca64,0.01,0.4702289124574308
2,29,1,True,pca64,0.02,0.4751767888974178
2,29,2,False,pca64,0.001,0.4557990884027348
2,29,2,False,pca64,0.005,0.4612481005605123
2,29,2,True,pca64,0.01,0.47155999340180355
2,29,2,False,pca64,0.02,0.4659281419012636
2,29,3,False,pca64,0.001,0.39762767289699336
2,29,3,False,pca64,0.005,0.3825028388987925
2,29,3,False,pca64,0.01,0.3818567551558382
2,29,3,True,pca64,0.02,0.3979185818079683
2,29,4,False,pca64,0.001,0.416356924610452
2,29,4,False,pca64,0.005,0.4264498956803734
2,29,4,True,pca64,0.01,0.44273751033626746
2,29,4,False,pca64,0.02,0.43770856176996237
3,41,0,False,pca64,0.001,0.5290218053848427
3,41,0,False,pca64,0.005,0.5235247057924401
3,41,0,False,pca64,0.01,0.5338394666777905
3,41,0,True,pca64,0.02,0.5502966702448444
3,41,1,False,pca64,0.001,0.4643882848280764
3,41,1,False,pca64,0.005,0.4643882848280764
3,41,1,False,pca64,0.01,0.47568904586590594
3,41,1,True,pca64,0.02,0.48059388537185843
3,41,2,False,pca64,0.001,0.471004967995846
3,41,2,False,pca64,0.005,0.48148148148148145
3,41,2,False,pca64,0.01,0.5026455026455027
3,41,2,True,pca64,0.02,0.5026736478665699
3,41,3,False,pca64,0.001,0.43917802918868737
3,41,3,False,pca64,0.005,0.4497606323016678
3,41,3,False,pca64,0.01,0.4497606323016678
3,41,3,True,pca64,0.02,0.4763571990478525
3,41,4,False,pca64,0.001,0.40777286698912213
3,41,4,False,pca64,0.005,0.42917257826456273
3,41,4,True,pca64,0.01,0.4343551795452143
3,41,4,False,pca64,0.02,0.3970255105026776
4,53,0,False,pca64,0.001,0.4761972444689418
4,53,0,True,pca64,0.005,0.4868434142587058
4,53,0,False,pca64,0.01,0.46464939998265575
4,53,0,False,pca64,0.02,0.4758346432348385
4,53,1,False,pca64,0.001,0.5236855625118317
4,53,1,True,pca64,0.005,0.5285105264893979
4,53,1,False,pca64,0.01,0.5285105264893979
4,53,1,False,pca64,0.02,0.5230679860071958
4,53,2,True,pca64,0.001,0.4718515051710988
4,53,2,False,pca64,0.005,0.4718515051710988
4,53,2,False,pca64,0.01,0.45610667976947344
4,53,2,False,pca64,0.02,0.46096313961749336
4,53,3,False,pca64,0.001,0.41820020439615374
4,53,3,False,pca64,0.005,0.41808306147945884
4,53,3,False,pca64,0.01,0.41801282296272657
4,53,3,True,pca64,0.02,0.42328634821688516
4,53,4,False,pca64,0.001,0.4904173800324294
4,53,4,False,pca64,0.005,0.5010786274244388
4,53,4,True,pca64,0.01,0.5060857886160893
4,53,4,False,pca64,0.02,0.48368003849310587
