repeat,seed,method,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,PCA64-SRC (initial reference),0.7944915254237288,0.8008474576271186,0.788135593220339,0.7907949790794979,0.5890306439418724,0.7957894736842105,0.8770288710140764,189,186,50,47
0,6,AntiDMPpred-RF (reimplemented),0.7415254237288136,0.7669491525423728,0.7161016949152542,0.7298387096774194,0.4836765162277681,0.7479338842975206,0.8137029589198506,181,169,67,55
0,6,RBF-SVM,0.7690677966101694,0.7669491525423728,0.7711864406779662,0.7702127659574468,0.5381404242929461,0.7685774946921444,0.8448721631715024,181,182,54,55
0,6,Gradient Boosting,0.6949152542372882,0.6949152542372882,0.6949152542372882,0.6949152542372882,0.3898305084745763,0.6949152542372882,0.7766805515656421,164,164,72,72
0,6,Logistic Regression,0.722457627118644,0.7711864406779662,0.673728813559322,0.7027027027027027,0.4470433257068074,0.7353535353535353,0.7768780522838264,182,159,77,54
1,17,PCA64-SRC (initial reference),0.7817796610169492,0.7627118644067796,0.8008474576271186,0.7929515418502202,0.5639695683357486,0.7775377969762419,0.8695417983338122,180,189,47,56
1,17,AntiDMPpred-RF (reimplemented),0.7372881355932204,0.7754237288135594,0.6991525423728814,0.7204724409448819,0.4759626978852726,0.746938775510204,0.800560183855214,183,165,71,53
1,17,RBF-SVM,0.7817796610169492,0.7669491525423728,0.7966101694915254,0.7903930131004366,0.5638073886905366,0.7784946236559139,0.8426188595231255,181,188,48,55
1,17,Gradient Boosting,0.6800847457627118,0.6779661016949152,0.6822033898305084,0.6808510638297872,0.3601727249204757,0.6794055201698513,0.7471452168916977,160,161,75,76
1,17,Logistic Regression,0.711864406779661,0.7245762711864406,0.6991525423728814,0.7066115702479339,0.42386582192741534,0.7154811715481172,0.7705759839126688,171,165,71,65
2,29,PCA64-SRC (initial reference),0.7838983050847458,0.7796610169491526,0.788135593220339,0.7863247863247863,0.5678170004020289,0.7829787234042553,0.8637604136742315,184,186,50,52
2,29,AntiDMPpred-RF (reimplemented),0.7161016949152542,0.7288135593220338,0.7033898305084746,0.7107438016528925,0.43234313836596366,0.7196652719665272,0.8076971416259695,172,166,70,64
2,29,RBF-SVM,0.7711864406779662,0.75,0.7923728813559322,0.7831858407079646,0.5428604427004594,0.7662337662337663,0.8435255673656994,177,187,49,59
2,29,Gradient Boosting,0.6822033898305084,0.673728813559322,0.690677966101695,0.6853448275862069,0.36445913319618556,0.6794871794871795,0.771617351335823,159,163,73,77
2,29,Logistic Regression,0.7245762711864406,0.7372881355932204,0.711864406779661,0.71900826446281,0.4492977712430603,0.7280334728033473,0.7804510198218901,174,168,68,62
3,41,PCA64-SRC (initial reference),0.8008474576271186,0.8177966101694916,0.7838983050847458,0.7909836065573771,0.6020409158091431,0.8041666666666667,0.8720554438379775,193,185,51,43
3,41,AntiDMPpred-RF (reimplemented),0.7372881355932204,0.7754237288135594,0.6991525423728814,0.7204724409448819,0.4759626978852726,0.746938775510204,0.8041690606147659,183,165,71,53
3,41,RBF-SVM,0.7860169491525424,0.7796610169491526,0.7923728813559322,0.7896995708154506,0.5720801218140488,0.7846481876332623,0.8470716029876472,184,187,49,52
3,41,Gradient Boosting,0.6885593220338984,0.6949152542372882,0.6822033898305084,0.6861924686192469,0.3771491173440766,0.6905263157894737,0.7452240735420856,164,161,75,72
3,41,Logistic Regression,0.7033898305084746,0.75,0.6567796610169492,0.686046511627907,0.4085587286199869,0.7165991902834008,0.7636814133869578,177,155,81,59
4,53,PCA64-SRC (initial reference),0.760593220338983,0.7457627118644068,0.7754237288135594,0.7685589519650655,0.5214158557062858,0.7569892473118279,0.8498455903476014,176,183,53,60
4,53,AntiDMPpred-RF (reimplemented),0.7182203389830508,0.7669491525423728,0.6694915254237288,0.6988416988416989,0.43852821474096343,0.7313131313131314,0.8054797471990807,181,158,78,55
4,53,RBF-SVM,0.7669491525423728,0.7584745762711864,0.7754237288135594,0.771551724137931,0.5339750091013882,0.7649572649572649,0.8401680551565642,179,183,53,57
4,53,Gradient Boosting,0.6991525423728814,0.7161016949152542,0.6822033898305084,0.6926229508196722,0.39853412736661586,0.7041666666666667,0.7495331801206551,169,161,75,67
4,53,Logistic Regression,0.6991525423728814,0.7330508474576272,0.6652542372881356,0.6865079365079365,0.3992236332928067,0.7090163934426229,0.7513825050272911,173,157,79,63
