repeat,seed,fold,dimension,selected_alpha,dictionary_atoms,overcompleteness_ratio,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,0,160,0.001,376,2.35,0.7291666666666666,0.6875,0.7708333333333334,0.75,0.45993310550389993,0.717391304347826,0.8302951388888888,33,37,11,15
0,6,1,160,0.001,378,2.3625,0.7340425531914894,0.8085106382978723,0.6595744680851063,0.7037037037037037,0.4733646312031287,0.7524752475247525,0.8035310095065641,38,31,16,9
0,6,2,160,0.001,378,2.3625,0.723404255319149,0.7872340425531915,0.6595744680851063,0.6981132075471698,0.45049443614715134,0.74,0.7700316885468538,37,31,16,10
0,6,3,160,0.02,378,2.3625,0.7127659574468085,0.723404255319149,0.7021276595744681,0.7083333333333334,0.4256282653793743,0.7157894736842105,0.8343141693073789,34,33,14,13
0,6,4,160,0.01,378,2.3625,0.7553191489361702,0.7021276595744681,0.8085106382978723,0.7857142857142857,0.5135525910130955,0.7415730337078652,0.8057944771389769,33,38,9,14
1,17,0,160,0.02,376,2.35,0.6770833333333334,0.6666666666666666,0.6875,0.6808510638297872,0.35424355078060105,0.6736842105263158,0.72265625,32,33,15,16
1,17,1,160,0.01,378,2.3625,0.7553191489361702,0.7872340425531915,0.723404255319149,0.74,0.5116817192534651,0.7628865979381443,0.8433680398370303,37,34,13,10
1,17,2,160,0.005,378,2.3625,0.7021276595744681,0.723404255319149,0.6808510638297872,0.6938775510204082,0.4046218244999619,0.7083333333333334,0.8193752829334541,34,32,15,13
1,17,3,160,0.005,378,2.3625,0.6914893617021277,0.7021276595744681,0.6808510638297872,0.6875,0.3830654388414369,0.6947368421052632,0.7709370755998189,33,32,15,14
1,17,4,160,0.02,378,2.3625,0.7978723404255319,0.8085106382978723,0.7872340425531915,0.7916666666666666,0.595879571531124,0.8,0.8334087822544137,38,37,10,9
2,29,0,160,0.005,376,2.35,0.7291666666666666,0.7083333333333334,0.75,0.7391304347826086,0.4587317109255645,0.723404255319149,0.8211805555555556,34,36,12,14
2,29,1,160,0.02,378,2.3625,0.723404255319149,0.7446808510638298,0.7021276595744681,0.7142857142857143,0.4472135954999579,0.7291666666666666,0.822544137618832,35,33,14,12
2,29,2,160,0.005,378,2.3625,0.6808510638297872,0.6595744680851063,0.7021276595744681,0.6888888888888889,0.3620300534999659,0.6739130434782609,0.7709370755998188,31,33,14,16
2,29,3,160,0.001,378,2.3625,0.6702127659574468,0.6595744680851063,0.6808510638297872,0.6739130434782609,0.3405026123034995,0.6666666666666666,0.7265731100045268,31,32,15,16
2,29,4,160,0.02,378,2.3625,0.776595744680851,0.8085106382978723,0.7446808510638298,0.76,0.5543218625245872,0.7835051546391752,0.8229968311453146,38,35,12,9
3,41,0,160,0.02,376,2.35,0.7604166666666666,0.7916666666666666,0.7291666666666666,0.7450980392156863,0.5218535759042912,0.7676767676767676,0.8624131944444444,38,35,13,10
3,41,1,160,0.001,378,2.3625,0.6276595744680851,0.6382978723404256,0.6170212765957447,0.625,0.2553769592276246,0.631578947368421,0.7229515617926664,30,29,18,17
3,41,2,160,0.02,378,2.3625,0.6595744680851063,0.6382978723404256,0.6808510638297872,0.6666666666666666,0.3194382824999699,0.6521739130434783,0.6849253055681302,30,32,15,17
3,41,3,160,0.01,378,2.3625,0.6276595744680851,0.7021276595744681,0.5531914893617021,0.6111111111111112,0.2581988897471611,0.6534653465346535,0.7523766410140336,33,26,21,14
3,41,4,160,0.005,378,2.3625,0.776595744680851,0.7446808510638298,0.8085106382978723,0.7954545454545454,0.5543218625245872,0.7692307692307693,0.8755092802172929,35,38,9,12
4,53,0,160,0.001,376,2.35,0.6875,0.5625,0.8125,0.75,0.3872983346207417,0.6428571428571429,0.7660590277777778,27,39,9,21
4,53,1,160,0.02,378,2.3625,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.48936170212765956,0.7446808510638298,0.8216387505658669,35,35,12,12
4,53,2,160,0.02,378,2.3625,0.6808510638297872,0.6382978723404256,0.723404255319149,0.6976744186046512,0.36301920849513475,0.6666666666666666,0.7750113173381621,30,34,13,17
4,53,3,160,0.005,378,2.3625,0.7553191489361702,0.8085106382978723,0.7021276595744681,0.7307692307692307,0.5135525910130955,0.7676767676767676,0.7827071072883658,38,33,14,9
4,53,4,160,0.02,378,2.3625,0.6808510638297872,0.7446808510638298,0.6170212765957447,0.660377358490566,0.3646859721191225,0.7,0.7483023992756903,35,29,18,12
