repeat,seed,fold,dimension,selected,mode,alpha,mcc
0,6,0,160,True,pca160,0.001,0.27214421416787193
0,6,0,160,False,pca160,0.005,0.2669258885993638
0,6,0,160,False,pca160,0.01,0.26171046814030513
0,6,0,160,False,pca160,0.02,0.23469420573585983
0,6,1,160,True,pca160,0.001,0.32826755452134476
0,6,1,160,False,pca160,0.005,0.32826755452134476
0,6,1,160,False,pca160,0.01,0.328046919868086
0,6,1,160,False,pca160,0.02,0.3069169735837937
0,6,2,160,True,pca160,0.001,0.41275041275061913
0,6,2,160,False,pca160,0.005,0.412704189511463
0,6,2,160,False,pca160,0.01,0.40212203080604086
0,6,2,160,False,pca160,0.02,0.40212203080604086
0,6,3,160,False,pca160,0.001,0.26458359791706354
0,6,3,160,False,pca160,0.005,0.25405717282552137
0,6,3,160,False,pca160,0.01,0.2699017232335747
0,6,3,160,True,pca160,0.02,0.285910450712139
0,6,4,160,False,pca160,0.001,0.2969996984545409
0,6,4,160,False,pca160,0.005,0.3073993852018444
0,6,4,160,True,pca160,0.01,0.3078493817275997
0,6,4,160,False,pca160,0.02,0.2866183898843169
1,17,0,160,False,pca160,0.001,0.35699458718715105
1,17,0,160,False,pca160,0.005,0.3411211461689767
1,17,0,160,False,pca160,0.01,0.35723808254306766
1,17,0,160,True,pca160,0.02,0.37267799624996495
1,17,1,160,False,pca160,0.001,0.3284148918512596
1,17,1,160,False,pca160,0.005,0.32826755452134476
1,17,1,160,True,pca160,0.01,0.33363234571837264
1,17,1,160,False,pca160,0.02,0.32320404042146084
1,17,2,160,False,pca160,0.001,0.370999258002226
1,17,2,160,True,pca160,0.005,0.37585081660920144
1,17,2,160,False,pca160,0.01,0.3757455362663491
1,17,2,160,False,pca160,0.02,0.3706246583305506
1,17,3,160,False,pca160,0.001,0.3968476167367657
1,17,3,160,True,pca160,0.005,0.40743021984974614
1,17,3,160,False,pca160,0.01,0.4021670688339366
1,17,3,160,False,pca160,0.02,0.39691429887290397
1,17,4,160,False,pca160,0.001,0.2969996984545409
1,17,4,160,False,pca160,0.005,0.30760683054220306
1,17,4,160,False,pca160,0.01,0.3239140997257265
1,17,4,160,True,pca160,0.02,0.34000252346559334
2,29,0,160,False,pca160,0.001,0.3697991350159019
2,29,0,160,True,pca160,0.005,0.37541203012262614
2,29,0,160,False,pca160,0.01,0.3652115625283618
2,29,0,160,False,pca160,0.02,0.3646859721191225
2,29,1,160,False,pca160,0.001,0.3249603484798047
2,29,1,160,False,pca160,0.005,0.31983742176028007
2,29,1,160,False,pca160,0.01,0.3105558792366365
2,29,1,160,True,pca160,0.02,0.3268957056759277
2,29,2,160,False,pca160,0.001,0.2858143194287115
2,29,2,160,True,pca160,0.005,0.29640003496310824
2,29,2,160,False,pca160,0.01,0.2804389824939811
2,29,2,160,False,pca160,0.02,0.2910215856069615
2,29,3,160,True,pca160,0.001,0.3451543685602003
2,29,3,160,False,pca160,0.005,0.34000252346559334
2,29,3,160,False,pca160,0.01,0.34000252346559334
2,29,3,160,False,pca160,0.02,0.3340072452334744
2,29,4,160,False,pca160,0.001,0.2539718089301311
2,29,4,160,False,pca160,0.005,0.26464288835991806
2,29,4,160,False,pca160,0.01,0.2699017232335747
2,29,4,160,True,pca160,0.02,0.2804389824939811
3,41,0,160,False,pca160,0.001,0.24473625259314025
3,41,0,160,False,pca160,0.005,0.27131114129323936
3,41,0,160,False,pca160,0.01,0.2765957446808511
3,41,0,160,True,pca160,0.02,0.2819507938929742
3,41,1,160,True,pca160,0.001,0.3603992792021624
3,41,1,160,False,pca160,0.005,0.3494461064259477
3,41,1,160,False,pca160,0.01,0.3494461064259477
3,41,1,160,False,pca160,0.02,0.3492503492505239
3,41,2,160,False,pca160,0.001,0.42857142857142855
3,41,2,160,False,pca160,0.005,0.42857142857142855
3,41,2,160,False,pca160,0.01,0.43917802918868737
3,41,2,160,True,pca160,0.02,0.44996224523636796
3,41,3,160,False,pca160,0.001,0.4287875513428918
3,41,3,160,False,pca160,0.005,0.4392518240860137
3,41,3,160,True,pca160,0.01,0.4657714835134558
3,41,3,160,False,pca160,0.02,0.4497606323016678
3,41,4,160,False,pca160,0.001,0.32826755452134476
3,41,4,160,True,pca160,0.005,0.3335014288222492
3,41,4,160,False,pca160,0.01,0.3280836614171588
3,41,4,160,False,pca160,0.02,0.3280836614171588
4,53,0,160,True,pca160,0.001,0.35108369701397174
4,53,0,160,False,pca160,0.005,0.34574957209169493
4,53,0,160,False,pca160,0.01,0.35106382978723405
4,53,0,160,False,pca160,0.02,0.35106382978723405
4,53,1,160,False,pca160,0.001,0.30201033285284046
4,53,1,160,False,pca160,0.005,0.3124493396410157
4,53,1,160,False,pca160,0.01,0.3124493396410157
4,53,1,160,True,pca160,0.02,0.32304084267969413
4,53,2,160,False,pca160,0.001,0.3703755546897745
4,53,2,160,False,pca160,0.005,0.37566137566137564
4,53,2,160,False,pca160,0.01,0.40212203080604086
4,53,2,160,True,pca160,0.02,0.40743021984974614
4,53,3,160,False,pca160,0.001,0.38095771339519663
4,53,3,160,True,pca160,0.005,0.3862650136237853
4,53,3,160,False,pca160,0.01,0.38095771339519663
4,53,3,160,False,pca160,0.02,0.3706246583305506
4,53,4,160,False,pca160,0.001,0.4718515051710988
4,53,4,160,False,pca160,0.005,0.47155999340180355
4,53,4,160,False,pca160,0.01,0.47699904600286197
4,53,4,160,True,pca160,0.02,0.4819133882598716
