repeat,seed,fold,dimension,selected,mode,alpha,mcc
0,6,0,16,False,pca16,0.001,0.30517697638188396
0,6,0,16,False,pca16,0.005,0.30517697638188396
0,6,0,16,False,pca16,0.01,0.3105421926168781
0,6,0,16,True,pca16,0.02,0.33703255185838704
0,6,0,32,False,pca32,0.001,0.41694669154115194
0,6,0,32,False,pca32,0.005,0.41174717435849234
0,6,0,32,False,pca32,0.01,0.41694669154115194
0,6,0,32,True,pca32,0.02,0.43783624000101057
0,6,0,64,False,pca64,0.001,0.4589550319806093
0,6,0,64,True,pca64,0.005,0.4644548537643993
0,6,0,64,False,pca64,0.01,0.45906910113818333
0,6,0,64,False,pca64,0.02,0.45923507954710424
0,6,0,128,False,pca128,0.001,0.5016189877770317
0,6,0,128,False,pca128,0.005,0.5014637238663856
0,6,0,128,True,pca128,0.01,0.5120756701979953
0,6,0,128,False,pca128,0.02,0.5013650054052888
0,6,1,16,True,pca16,0.001,0.35420399913265355
0,6,1,16,False,pca16,0.005,0.34871861183035396
0,6,1,16,False,pca16,0.01,0.3538850863052268
0,6,1,16,False,pca16,0.02,0.3536068830808637
0,6,1,32,True,pca32,0.001,0.40321192769455183
0,6,1,32,False,pca32,0.005,0.3981275575217876
0,6,1,32,False,pca32,0.01,0.3981275575217876
0,6,1,32,False,pca32,0.02,0.3925385042469429
0,6,1,64,False,pca64,0.001,0.4386462227963477
0,6,1,64,False,pca64,0.005,0.4389845457452335
0,6,1,64,True,pca64,0.01,0.4496219781752343
0,6,1,64,False,pca64,0.02,0.42321014628237796
0,6,1,128,False,pca128,0.001,0.49075455255709116
0,6,1,128,True,pca128,0.005,0.4961017777825104
0,6,1,128,False,pca128,0.01,0.4910043515852973
0,6,1,128,False,pca128,0.02,0.4910043515852973
0,6,2,16,False,pca16,0.001,0.3236404465371476
0,6,2,16,False,pca16,0.005,0.32882109471752735
0,6,2,16,True,pca16,0.01,0.3391993216020352
0,6,2,16,False,pca16,0.02,0.31875236574899374
0,6,2,32,True,pca32,0.001,0.39312791775709227
0,6,2,32,False,pca32,0.005,0.3870242682864069
0,6,2,32,False,pca32,0.01,0.3870242682864069
0,6,2,32,False,pca32,0.02,0.3927733491007306
0,6,2,64,False,pca64,0.001,0.4976959697581679
0,6,2,64,True,pca64,0.005,0.5030963943372286
0,6,2,64,False,pca64,0.01,0.4976959697581679
0,6,2,64,False,pca64,0.02,0.5027581119056783
0,6,2,128,False,pca128,0.001,0.4923116330233202
0,6,2,128,False,pca128,0.005,0.5028989799700583
0,6,2,128,False,pca128,0.01,0.5085133809309826
0,6,2,128,True,pca128,0.02,0.5087989824030528
0,6,3,16,False,pca16,0.001,0.3888869744102581
0,6,3,16,False,pca16,0.005,0.3888869744102581
0,6,3,16,True,pca16,0.01,0.39397388174996295
0,6,3,16,False,pca16,0.02,0.3880070638461179
0,6,3,32,False,pca32,0.001,0.40743021984974614
0,6,3,32,False,pca32,0.005,0.40743021984974614
0,6,3,32,True,pca32,0.01,0.41801282296272657
0,6,3,32,False,pca32,0.02,0.412704189511463
0,6,3,64,False,pca64,0.001,0.4815084416406091
0,6,3,64,True,pca64,0.005,0.5079436178602622
0,6,3,64,False,pca64,0.01,0.5027581119056783
0,6,3,64,False,pca64,0.02,0.5030963943372286
0,6,3,128,True,pca128,0.001,0.5238095238095238
0,6,3,128,False,pca128,0.005,0.5185257765656843
0,6,3,128,False,pca128,0.01,0.508000508000762
0,6,3,128,False,pca128,0.02,0.5132562509795503
0,6,4,16,False,pca16,0.001,0.36162028533978946
0,6,4,16,False,pca16,0.005,0.3718777600404927
0,6,4,16,False,pca16,0.01,0.3722561760850774
0,6,4,16,True,pca16,0.02,0.3825028388987925
0,6,4,32,True,pca32,0.001,0.44585082870893744
0,6,4,32,False,pca32,0.005,0.44585082870893744
0,6,4,32,False,pca32,0.01,0.4352353327872961
0,6,4,32,False,pca32,0.02,0.4198980553951139
0,6,4,64,False,pca64,0.001,0.44983620538929114
0,6,4,64,False,pca64,0.005,0.4603432354146482
