repeat,seed,dimension,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,16,0.7309322033898306,0.7203389830508474,0.7415254237288136,0.7359307359307359,0.4619680991343928,0.728051391862955,0.7863939959781672,170,175,61,66
0,6,32,0.7309322033898306,0.7161016949152542,0.7457627118644068,0.7379912663755459,0.46206770952833454,0.7268817204301076,0.8154445561620225,169,176,60,67
0,6,64,0.7944915254237288,0.8008474576271186,0.788135593220339,0.7907949790794979,0.5890306439418724,0.7957894736842105,0.8770288710140764,189,186,50,47
0,6,128,0.7902542372881356,0.809322033898305,0.7711864406779662,0.7795918367346939,0.5809310591127635,0.7941787941787942,0.8908180120654983,191,182,54,45
1,17,16,0.6652542372881356,0.6694915254237288,0.6610169491525424,0.6638655462184874,0.3305203435175989,0.6666666666666666,0.7585823039356506,158,156,80,78
1,17,32,0.7521186440677966,0.7415254237288136,0.7627118644067796,0.7575757575757576,0.5043504935503921,0.7494646680942184,0.8302391554151105,175,180,56,61
1,17,64,0.7817796610169492,0.7627118644067796,0.8008474576271186,0.7929515418502202,0.5639695683357486,0.7775377969762419,0.8695417983338122,180,189,47,56
1,17,128,0.7944915254237288,0.7966101694915254,0.7923728813559322,0.7932489451476793,0.5889883383993662,0.7949260042283298,0.8807634300488365,188,187,49,48
2,29,16,0.6758474576271186,0.652542372881356,0.6991525423728814,0.6844444444444444,0.352077568846597,0.6681127982646421,0.7526213731686296,154,165,71,82
2,29,32,0.7288135593220338,0.711864406779661,0.7457627118644068,0.7368421052631579,0.4578902739956863,0.7241379310344828,0.8009910945130708,168,176,60,68
2,29,64,0.7838983050847458,0.7796610169491526,0.788135593220339,0.7863247863247863,0.5678170004020289,0.7829787234042553,0.8637604136742315,184,186,50,52
2,29,128,0.7817796610169492,0.7966101694915254,0.7669491525423728,0.7736625514403292,0.5638073886905366,0.7849686847599165,0.879111605860385,188,181,55,48
3,41,16,0.6927966101694916,0.690677966101695,0.6949152542372882,0.6936170212765957,0.38559668197368574,0.692144373673036,0.7673980178109739,163,164,72,73
3,41,32,0.739406779661017,0.7288135593220338,0.75,0.7445887445887446,0.4789210569007925,0.7366167023554604,0.8089449870726803,172,177,59,64
3,41,64,0.8008474576271186,0.8177966101694916,0.7838983050847458,0.7909836065573771,0.6020409158091431,0.8041666666666667,0.8720554438379775,193,185,51,43
3,41,128,0.7838983050847458,0.809322033898305,0.7584745762711864,0.7701612903225806,0.5685320453905344,0.7892561983471075,0.8710858948577995,191,179,57,45
4,53,16,0.6546610169491526,0.6186440677966102,0.690677966101695,0.6666666666666666,0.3101276884376899,0.6417582417582418,0.7390656420568803,146,163,73,90
4,53,32,0.7161016949152542,0.7033898305084746,0.7288135593220338,0.7217391304347827,0.43234313836596366,0.7124463519313304,0.8093938523412811,166,172,64,70
4,53,64,0.760593220338983,0.7457627118644068,0.7754237288135594,0.7685589519650655,0.5214158557062858,0.7569892473118279,0.8498455903476014,176,183,53,60
4,53,128,0.8029661016949152,0.826271186440678,0.7796610169491526,0.7894736842105263,0.6065914740369082,0.8074534161490683,0.878177966101695,195,184,52,41
