repeat,seed,fold,dimension,selected,mode,alpha,mcc
0,6,0,16,False,pca16,0.001,0.3051769763818839
0,6,0,16,False,pca16,0.005,0.3051769763818839
0,6,0,16,False,pca16,0.01,0.3105421926168781
0,6,0,16,True,pca16,0.02,0.337032551858387
0,6,1,16,True,pca16,0.001,0.3542039991326535
0,6,1,16,False,pca16,0.005,0.3487186118303539
0,6,1,16,False,pca16,0.01,0.3538850863052268
0,6,1,16,False,pca16,0.02,0.3536068830808637
0,6,2,16,False,pca16,0.001,0.3236404465371476
0,6,2,16,False,pca16,0.005,0.3288210947175273
0,6,2,16,True,pca16,0.01,0.3391993216020352
0,6,2,16,False,pca16,0.02,0.3187523657489937
0,6,3,16,False,pca16,0.001,0.3888869744102581
0,6,3,16,False,pca16,0.005,0.3888869744102581
0,6,3,16,True,pca16,0.01,0.3939738817499629
0,6,3,16,False,pca16,0.02,0.3880070638461179
0,6,4,16,False,pca16,0.001,0.3616202853397894
0,6,4,16,False,pca16,0.005,0.3718777600404927
0,6,4,16,False,pca16,0.01,0.3722561760850774
0,6,4,16,True,pca16,0.02,0.3825028388987925
0,6,0,32,False,pca32,0.001,0.4169466915411519
0,6,0,32,False,pca32,0.005,0.4117471743584923
0,6,0,32,False,pca32,0.01,0.4169466915411519
0,6,0,32,True,pca32,0.02,0.4378362400010105
0,6,1,32,True,pca32,0.001,0.4032119276945518
0,6,1,32,False,pca32,0.005,0.3981275575217876
0,6,1,32,False,pca32,0.01,0.3981275575217876
0,6,1,32,False,pca32,0.02,0.3925385042469429
0,6,2,32,True,pca32,0.001,0.3931279177570922
0,6,2,32,False,pca32,0.005,0.3870242682864069
0,6,2,32,False,pca32,0.01,0.3870242682864069
0,6,2,32,False,pca32,0.02,0.3927733491007306
0,6,3,32,False,pca32,0.001,0.4074302198497461
0,6,3,32,False,pca32,0.005,0.4074302198497461
0,6,3,32,True,pca32,0.01,0.4180128229627265
0,6,3,32,False,pca32,0.02,0.412704189511463
0,6,4,32,True,pca32,0.001,0.4458508287089374
0,6,4,32,False,pca32,0.005,0.4458508287089374
0,6,4,32,False,pca32,0.01,0.4352353327872961
0,6,4,32,False,pca32,0.02,0.4198980553951139
0,6,0,64,False,pca64,0.001,0.4589550319806093
0,6,0,64,True,pca64,0.005,0.4644548537643993
0,6,0,64,False,pca64,0.01,0.4590691011381833
0,6,0,64,False,pca64,0.02,0.4592350795471042
0,6,1,64,False,pca64,0.001,0.4386462227963477
0,6,1,64,False,pca64,0.005,0.4389845457452335
0,6,1,64,True,pca64,0.01,0.4496219781752343
0,6,1,64,False,pca64,0.02,0.4232101462823779
0,6,2,64,False,pca64,0.001,0.4976959697581679
0,6,2,64,True,pca64,0.005,0.5030963943372286
0,6,2,64,False,pca64,0.01,0.4976959697581679
0,6,2,64,False,pca64,0.02,0.5027581119056783
0,6,3,64,False,pca64,0.001,0.4815084416406091
0,6,3,64,True,pca64,0.005,0.5079436178602622
0,6,3,64,False,pca64,0.01,0.5027581119056783
0,6,3,64,False,pca64,0.02,0.5030963943372286
0,6,4,64,False,pca64,0.001,0.4498362053892911
0,6,4,64,False,pca64,0.005,0.4603432354146482
0,6,4,64,False,pca64,0.01,0.4656149830385736
0,6,4,64,True,pca64,0.02,0.4709258385276286
0,6,0,96,False,pca96,0.001,0.4643882848280764
0,6,0,96,False,pca96,0.005,0.47500142640059
0,6,0,96,False,pca96,0.01,0.4696278848715564
0,6,0,96,True,pca96,0.02,0.4754059240143172
0,6,1,96,False,pca96,0.001,0.4645603583288314
0,6,1,96,True,pca96,0.005,0.4754059240143172
0,6,1,96,False,pca96,0.01,0.4754059240143172
0,6,1,96,False,pca96,0.02,0.4699753602130241
0,6,2,96,False,pca96,0.001,0.4867793004494179
0,6,2,96,False,pca96,0.005,0.5079436178602622
0,6,2,96,False,pca96,0.01,0.5026736478665699
0,6,2,96,True,pca96,0.02,0.5185257765656843
0,6,3,96,False,pca96,0.001,0.4656149830385736
0,6,3,96,False,pca96,0.005,0.4868338201673969
0,6,3,96,False,pca96,0.01,0.4763571990478525
0,6,3,96,True,pca96,0.02,0.4921737306024009
0,6,4,96,False,pca96,0.001,0.4815893492991234
0,6,4,96,True,pca96,0.005,0.4921737306024009
0,6,4,96,False,pca96,0.01,0.4867793004494179
0,6,4,96,False,pca96,0.02,0.4708994708994709
0,6,0,128,False,pca128,0.001,0.5016189877770317
0,6,0,128,False,pca128,0.005,0.5014637238663856
0,6,0,128,True,pca128,0.01,0.5120756701979953
0,6,0,128,False,pca128,0.02,0.5013650054052888
0,6,1,128,False,pca128,0.001,0.4907545525570911
0,6,1,128,True,pca128,0.005,0.4961017777825104
0,6,1,128,False,pca128,0.01,0.4910043515852973
0,6,1,128,False,pca128,0.02,0.4910043515852973
0,6,2,128,False,pca128,0.001,0.4923116330233202
0,6,2,128,False,pca128,0.005,0.5028989799700583
0,6,2,128,False,pca128,0.01,0.5085133809309826
0,6,2,128,True,pca128,0.02,0.5087989824030528
0,6,3,128,True,pca128,0.001,0.5238095238095238
0,6,3,128,False,pca128,0.005,0.5185257765656843
0,6,3,128,False,pca128,0.01,0.508000508000762
0,6,3,128,False,pca128,0.02,0.5132562509795503
0,6,4,128,False,pca128,0.001,0.4503662858331831
0,6,4,128,True,pca128,0.005,0.4607303821825146
0,6,4,128,False,pca128,0.01,0.4447495899966607
0,6,4,128,False,pca128,0.02,0.4604205866925686
0,6,0,160,True,pca160,0.001,0.5172384680216907
0,6,0,160,False,pca160,0.005,0.5013227513227513
0,6,0,160,False,pca160,0.01,0.496031746031746
0,6,0,160,False,pca160,0.02,0.4961017777825104
0,6,1,160,False,pca160,0.001,0.5120756701979953
0,6,1,160,False,pca160,0.005,0.5120756701979953
0,6,1,160,False,pca160,0.01,0.4964096500345906
0,6,1,160,True,pca160,0.02,0.5280671342631582
0,6,2,160,False,pca160,0.001,0.471136939129844
0,6,2,160,False,pca160,0.005,0.4762504762507143
0,6,2,160,False,pca160,0.01,0.4762504762507143
0,6,2,160,True,pca160,0.02,0.4868338201673969
0,6,3,160,False,pca160,0.001,0.4817242860765821
0,6,3,160,False,pca160,0.005,0.4819133882598716
0,6,3,160,True,pca160,0.01,0.5028989799700583
0,6,3,160,False,pca160,0.02,0.4976959697581679
0,6,4,160,False,pca160,0.001,0.4131671220064233
0,6,4,160,False,pca160,0.005,0.423999152002544
0,6,4,160,False,pca160,0.01,0.4294378867287528
0,6,4,160,True,pca160,0.02,0.4400412913393393
0,6,0,192,False,pca192,0.001,0.4962277095456173
0,6,0,192,True,pca192,0.005,0.5068408511181309
