repeat,seed,dimension,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,16,0.7309322033898306,0.7203389830508474,0.7415254237288136,0.7359307359307359,0.4619680991343928,0.728051391862955,0.7863939959781672,170,175,61,66
0,6,32,0.7309322033898306,0.7161016949152542,0.7457627118644068,0.7379912663755459,0.4620677095283345,0.7268817204301076,0.8154445561620225,169,176,60,67
0,6,64,0.7944915254237288,0.8008474576271186,0.788135593220339,0.7907949790794979,0.5890306439418724,0.7957894736842105,0.8770288710140764,189,186,50,47
0,6,96,0.798728813559322,0.7923728813559322,0.8050847457627118,0.8025751072961373,0.5975059050057843,0.7974413646055437,0.8918234702671646,187,190,46,49
0,6,128,0.7902542372881356,0.809322033898305,0.7711864406779662,0.7795918367346939,0.5809310591127635,0.7941787941787942,0.8908180120654983,191,182,54,45
0,6,160,0.7944915254237288,0.8050847457627118,0.7838983050847458,0.7883817427385892,0.5891152823823907,0.7966457023060797,0.8891302786555587,190,185,51,46
0,6,192,0.7966101694915254,0.8220338983050848,0.7711864406779662,0.782258064516129,0.5939887041393643,0.8016528925619835,0.8894355070382074,194,182,54,42
0,6,224,0.798728813559322,0.8305084745762712,0.7669491525423728,0.7808764940239044,0.5986680967881539,0.8049281314168378,0.8900639184142487,196,181,55,40
0,6,240,0.7923728813559322,0.8177966101694916,0.7669491525423728,0.7782258064516129,0.5855031512230877,0.7975206611570248,0.8862575409365125,193,181,55,43
1,17,16,0.6652542372881356,0.6694915254237288,0.6610169491525424,0.6638655462184874,0.3305203435175989,0.6666666666666666,0.7585823039356506,158,156,80,78
1,17,32,0.7521186440677966,0.7415254237288136,0.7627118644067796,0.7575757575757576,0.5043504935503921,0.7494646680942184,0.8302391554151105,175,180,56,61
1,17,64,0.7817796610169492,0.7627118644067796,0.8008474576271186,0.7929515418502202,0.5639695683357486,0.7775377969762419,0.8695417983338122,180,189,47,56
1,17,96,0.7966101694915254,0.8008474576271186,0.7923728813559322,0.7941176470588235,0.593241642211075,0.7974683544303798,0.8764902326917553,189,187,49,47
1,17,128,0.7944915254237288,0.7966101694915254,0.7923728813559322,0.7932489451476793,0.5889883383993662,0.7949260042283298,0.8807634300488365,188,187,49,48
1,17,160,0.7860169491525424,0.8135593220338984,0.7584745762711864,0.7710843373493976,0.5729037479490502,0.7917525773195876,0.8830616202240735,192,179,57,44
1,17,192,0.788135593220339,0.8135593220338984,0.7627118644067796,0.7741935483870968,0.5770175983068111,0.7933884297520661,0.8872270899166906,192,180,56,44
1,17,224,0.7860169491525424,0.8050847457627118,0.7669491525423728,0.7755102040816326,0.572450313724256,0.7900207900207901,0.8829538925596093,190,181,55,46
1,17,240,0.7966101694915254,0.826271186440678,0.7669491525423728,0.78,0.5942669039692124,0.8024691358024691,0.8829898017810973,195,181,55,41
2,29,16,0.6758474576271186,0.652542372881356,0.6991525423728814,0.6844444444444444,0.352077568846597,0.6681127982646421,0.7526213731686296,154,165,71,82
2,29,32,0.7288135593220338,0.711864406779661,0.7457627118644068,0.7368421052631579,0.4578902739956863,0.7241379310344828,0.8009910945130708,168,176,60,68
2,29,64,0.7838983050847458,0.7796610169491526,0.788135593220339,0.7863247863247863,0.5678170004020289,0.7829787234042553,0.8637604136742315,184,186,50,52
2,29,96,0.7817796610169492,0.7838983050847458,0.7796610169491526,0.7805907172995781,0.563564381346156,0.7822410147991543,0.8720733984487216,185,184,52,51
2,29,128,0.7817796610169492,0.7966101694915254,0.7669491525423728,0.7736625514403292,0.5638073886905366,0.7849686847599165,0.879111605860385,188,181,55,48
2,29,160,0.798728813559322,0.8135593220338984,0.7838983050847458,0.7901234567901234,0.5977206150779373,0.8016701461377871,0.8843184429761564,192,185,51,44
2,29,192,0.7923728813559322,0.8050847457627118,0.7796610169491526,0.7851239669421488,0.5849348342598332,0.7949790794979079,0.8834207124389543,190,184,52,46
2,29,224,0.7838983050847458,0.8177966101694916,0.75,0.7658730158730159,0.5691060304386819,0.7909836065573771,0.874928181557024,193,177,59,43
2,29,240,0.7817796610169492,0.8220338983050848,0.7415254237288136,0.7607843137254902,0.5653946358466352,0.790224032586558,0.8771545532892846,194,175,61,42
3,41,16,0.6927966101694916,0.690677966101695,0.6949152542372882,0.6936170212765957,0.3855966819736857,0.692144373673036,0.7673980178109739,163,164,72,73
3,41,32,0.739406779661017,0.7288135593220338,0.75,0.7445887445887446,0.4789210569007925,0.7366167023554604,0.8089449870726803,172,177,59,64
3,41,64,0.8008474576271186,0.8177966101694916,0.7838983050847458,0.7909836065573771,0.6020409158091431,0.8041666666666667,0.8720554438379775,193,185,51,43
3,41,96,0.7817796610169492,0.826271186440678,0.7372881355932204,0.7587548638132295,0.5658037862472437,0.7910750507099391,0.8716424877908646,195,174,62,41
3,41,128,0.7838983050847458,0.809322033898305,0.7584745762711864,0.7701612903225806,0.5685320453905344,0.7892561983471075,0.8710858948577995,191,179,57,45
3,41,160,0.7966101694915254,0.8177966101694916,0.7754237288135594,0.7845528455284553,0.5937536092036275,0.8008298755186722,0.8778368284975582,193,183,53,43
