repeat,seed,fold,dimension,selected,mode,alpha,mcc
0,53,0,96,True,pca96,0.001,0.5331700883089807
0,53,0,96,False,pca96,0.005,0.522559038143089
0,53,0,96,False,pca96,0.01,0.5172384680216907
0,53,0,96,False,pca96,0.02,0.5172831239681486
0,53,0,160,False,pca160,0.001,0.4854215918045705
0,53,0,160,False,pca160,0.005,0.4854215918045705
0,53,0,160,False,pca160,0.01,0.5013650054052888
0,53,0,160,True,pca160,0.02,0.522687616529605
0,53,0,192,False,pca192,0.001,0.4860268445093333
0,53,0,192,False,pca192,0.005,0.48059388537185843
0,53,0,192,False,pca192,0.01,0.48059388537185843
0,53,0,192,True,pca192,0.02,0.4912124105306928
0,53,0,224,False,pca224,0.001,0.49927273872303196
0,53,0,224,True,pca224,0.005,0.5088183111284488
0,53,0,224,False,pca224,0.01,0.5028091403252385
0,53,0,224,False,pca224,0.02,0.47686531224525747
0,53,0,240,False,pca240,0.001,0.5043081196313893
0,53,0,240,False,pca240,0.005,0.5043081196313893
0,53,0,240,True,pca240,0.01,0.5200139987081125
0,53,0,240,False,pca240,0.02,0.5088183111284488
0,53,1,96,True,pca96,0.001,0.5283911031035707
0,53,1,96,False,pca96,0.005,0.5229606025172011
0,53,1,96,False,pca96,0.01,0.5281660047174055
0,53,1,96,False,pca96,0.02,0.5280007228212099
0,53,1,160,False,pca160,0.001,0.5341582284519817
0,53,1,160,False,pca160,0.005,0.5550926985208157
0,53,1,160,False,pca160,0.01,0.5660587964306062
0,53,1,160,True,pca160,0.02,0.5818258537894604
0,53,1,192,False,pca192,0.001,0.5235247057924401
0,53,1,192,False,pca192,0.005,0.5341582284519817
0,53,1,192,False,pca192,0.01,0.5444660825993031
0,53,1,192,True,pca192,0.02,0.5502966702448444
0,53,1,224,False,pca224,0.001,0.4974895840484699
0,53,1,224,False,pca224,0.005,0.5183843729548419
0,53,1,224,False,pca224,0.01,0.513254858257352
0,53,1,224,True,pca224,0.02,0.5192394296544269
0,53,1,240,False,pca240,0.001,0.483246078350852
0,53,1,240,False,pca240,0.005,0.4826822184569874
0,53,1,240,False,pca240,0.01,0.4984226857042542
0,53,1,240,True,pca240,0.02,0.5360493356950319
0,53,2,96,False,pca96,0.001,0.49736145915484004
0,53,2,96,True,pca96,0.005,0.5079436178602622
0,53,2,96,False,pca96,0.01,0.5026455026455027
0,53,2,96,False,pca96,0.02,0.5026736478665699
0,53,2,160,False,pca160,0.001,0.49736145915484004
0,53,2,160,False,pca160,0.005,0.5026736478665699
0,53,2,160,False,pca160,0.01,0.5079436178602622
0,53,2,160,True,pca160,0.02,0.5185257765656843
0,53,2,192,False,pca192,0.001,0.48158934929912345
0,53,2,192,False,pca192,0.005,0.4974171640840795
0,53,2,192,True,pca192,0.01,0.5027581119056783
0,53,2,192,False,pca192,0.02,0.497528630116646
0,53,2,224,False,pca224,0.001,0.4923116330233202
0,53,2,224,True,pca224,0.005,0.5033505547547341
0,53,2,224,False,pca224,0.01,0.48710669380586646
0,53,2,224,False,pca224,0.02,0.5028989799700583
0,53,2,240,True,pca240,0.001,0.5132562509795503
0,53,2,240,False,pca240,0.005,0.5027581119056783
0,53,2,240,False,pca240,0.01,0.4976959697581679
0,53,2,240,False,pca240,0.02,0.48694291458224925
0,53,3,96,False,pca96,0.001,0.471004967995846
0,53,3,96,False,pca96,0.005,0.48710669380586646
0,53,3,96,False,pca96,0.01,0.476517417853565
0,53,3,96,True,pca96,0.02,0.48732532339219164
0,53,3,160,False,pca160,0.001,0.476517417853565
0,53,3,160,False,pca160,0.005,0.47113693912984406
0,53,3,160,True,pca160,0.01,0.4925048912985501
0,53,3,160,False,pca160,0.02,0.48215684718611374
0,53,3,192,False,pca192,0.001,0.4557990884027348
0,53,3,192,False,pca192,0.005,0.45610667976947344
0,53,3,192,False,pca192,0.01,0.45064469594992584
0,53,3,192,True,pca192,0.02,0.4828078792603349
0,53,3,224,False,pca224,0.001,0.48368003849310587
0,53,3,224,False,pca224,0.005,0.47769731647386154
0,53,3,224,False,pca224,0.01,0.4828078792603349
0,53,3,224,True,pca224,0.02,0.4998868650285325
0,53,3,240,False,pca240,0.001,0.44549954768181127
0,53,3,240,False,pca240,0.005,0.4667138118571356
0,53,3,240,True,pca240,0.01,0.4883128123955029
0,53,3,240,False,pca240,0.02,0.47304970797677387
0,53,4,96,True,pca96,0.001,0.5413902920037097
0,53,4,96,False,pca96,0.005,0.5307747960820683
0,53,4,96,False,pca96,0.01,0.5409637364707709
0,53,4,96,False,pca96,0.02,0.5363167880704651
0,53,4,160,False,pca160,0.001,0.5450040603184916
0,53,4,160,False,pca160,0.005,0.544973544973545
0,53,4,160,False,pca160,0.01,0.5450040603184916
0,53,4,160,True,pca160,0.02,0.5503338836674921
0,53,4,192,True,pca192,0.001,0.5609172275841747
0,53,4,192,False,pca192,0.005,0.5397505397508097
0,53,4,192,False,pca192,0.01,0.5450040603184916
0,53,4,192,False,pca192,0.02,0.5556800184220655
0,53,4,224,False,pca224,0.001,0.5030963943372286
0,53,4,224,False,pca224,0.005,0.5134863269167964
0,53,4,224,False,pca224,0.01,0.5133424932089558
0,53,4,224,True,pca224,0.02,0.5397505397508097
0,53,4,240,False,pca240,0.001,0.519107409700378
0,53,4,240,False,pca240,0.005,0.5297014384697736
0,53,4,240,True,pca240,0.01,0.52999894000318
0,53,4,240,False,pca240,0.02,0.5294637976150722
