repeat,seed,fold,method,selected,mode,alpha,mcc,latent_dim,selected_epochs,inner_mcc,inner_auc,classification_weight,history_last_epoch
0,6,0,PCA160-SRC (proposed),True,pca160,0.001,0.5172384680216907,,,,,,
0,6,0,PCA160-SRC (proposed),False,pca160,0.005,0.5013227513227513,,,,,,
0,6,0,PCA160-SRC (proposed),False,pca160,0.01,0.49603174603174605,,,,,,
0,6,0,PCA160-SRC (proposed),False,pca160,0.02,0.4961017777825104,,,,,,
0,6,0,DeepLSE160-SRC,,,0.001,,160.0,22.0,0.5292561240249631,0.8434903047091413,1.0,36.0
0,6,0,DeepLSE160-SRC,,,0.005,,160.0,22.0,0.5292561240249631,0.8414127423822715,1.0,36.0
0,6,0,DeepLSE160-SRC,,,0.01,,160.0,22.0,0.5292561240249631,0.8386426592797784,1.0,36.0
0,6,0,DeepLSE160-SRC,,,0.02,,160.0,22.0,0.5292561240249631,0.8407202216066483,1.0,36.0
0,6,0,AE160-SRC,,,0.001,,160.0,75.0,0.5292561240249631,0.8469529085872577,0.0,89.0
0,6,0,AE160-SRC,,,0.005,,160.0,75.0,0.5543618612158774,0.8483379501385042,0.0,89.0
0,6,0,AE160-SRC,,,0.01,,160.0,75.0,0.5789473684210527,0.8414127423822715,0.0,89.0
0,6,0,AE160-SRC,,,0.02,,160.0,75.0,0.5789473684210527,0.8524930747922438,0.0,89.0
0,6,1,PCA160-SRC (proposed),False,pca160,0.001,0.5120756701979953,,,,,,
0,6,1,PCA160-SRC (proposed),False,pca160,0.005,0.5120756701979953,,,,,,
0,6,1,PCA160-SRC (proposed),False,pca160,0.01,0.4964096500345906,,,,,,
0,6,1,PCA160-SRC (proposed),True,pca160,0.02,0.5280671342631582,,,,,,
0,6,1,DeepLSE160-SRC,,,0.001,,160.0,20.0,0.5821817364274594,0.796398891966759,1.0,34.0
0,6,1,DeepLSE160-SRC,,,0.005,,160.0,20.0,0.5330017908890261,0.8047091412742382,1.0,34.0
0,6,1,DeepLSE160-SRC,,,0.01,,160.0,20.0,0.5330017908890261,0.7991689750692521,1.0,34.0
0,6,1,DeepLSE160-SRC,,,0.02,,160.0,20.0,0.5330017908890261,0.7929362880886427,1.0,34.0
0,6,1,AE160-SRC,,,0.001,,160.0,65.0,0.5001732201680236,0.8649584487534626,0.0,79.0
0,6,1,AE160-SRC,,,0.005,,160.0,65.0,0.6071582289507229,0.8898891966759003,0.0,79.0
0,6,1,AE160-SRC,,,0.01,,160.0,65.0,0.6599545966855683,0.8954293628808865,0.0,79.0
0,6,1,AE160-SRC,,,0.02,,160.0,65.0,0.6599545966855683,0.8975069252077562,0.0,79.0
0,6,2,PCA160-SRC (proposed),False,pca160,0.001,0.47113693912984406,,,,,,
0,6,2,PCA160-SRC (proposed),False,pca160,0.005,0.47625047625071437,,,,,,
0,6,2,PCA160-SRC (proposed),False,pca160,0.01,0.47625047625071437,,,,,,
0,6,2,PCA160-SRC (proposed),True,pca160,0.02,0.48683382016739696,,,,,,
0,6,2,DeepLSE160-SRC,,,0.001,,160.0,23.0,0.4487691257461865,0.842797783933518,1.0,37.0
