repeat,seed,method,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,PCA160-SRC (proposed),0.7944915254237288,0.8050847457627118,0.7838983050847458,0.7883817427385892,0.5891152823823907,0.7966457023060797,0.8891302786555587,190,185,51,46
0,6,DeepLSE160-SRC,0.7330508474576272,0.7627118644067796,0.7033898305084746,0.72,0.46692399597580975,0.7407407407407407,0.7956944843435794,180,166,70,56
0,6,AE160-SRC,0.7521186440677966,0.7669491525423728,0.7372881355932204,0.7448559670781894,0.5044592425125854,0.755741127348643,0.8450696638896869,181,174,62,55
0,6,CKSAAP-KPCA160-MP,0.7860169491525424,0.7838983050847458,0.788135593220339,0.7872340425531915,0.5720390336972261,0.7855626326963907,0.8823972996265441,185,186,50,51
0,6,CKSAAP-KPCA160-L1-SRC,0.7860169491525424,0.7669491525423728,0.8050847457627118,0.7973568281938326,0.572450313724256,0.7818574514038877,0.8867961792588337,181,190,46,55
0,6,AWMKPCA160-L1-SRC,0.8029661016949152,0.885593220338983,0.7203389830508474,0.76,0.614379303796938,0.8180039138943248,0.8793629704108015,209,170,66,27
1,17,PCA160-SRC (proposed),0.7860169491525424,0.8135593220338984,0.7584745762711864,0.7710843373493976,0.5729037479490502,0.7917525773195876,0.8830616202240735,192,179,57,44
1,17,DeepLSE160-SRC,0.7330508474576272,0.75,0.7161016949152542,0.7254098360655737,0.4663697235141249,0.7375,0.8036304222924447,177,169,67,59
1,17,AE160-SRC,0.760593220338983,0.7711864406779662,0.75,0.7551867219917012,0.5213034513167918,0.7631027253668763,0.8359666762424591,182,177,59,54
1,17,CKSAAP-KPCA160-MP,0.7817796610169492,0.7542372881355932,0.809322033898305,0.7982062780269058,0.5644162850164717,0.775599128540305,0.8781600114909509,178,191,45,58
1,17,CKSAAP-KPCA160-L1-SRC,0.7902542372881356,0.7457627118644068,0.8347457627118644,0.8186046511627907,0.5828204414727246,0.7804878048780488,0.8859343579431198,176,197,39,60
1,17,AWMKPCA160-L1-SRC,0.7754237288135594,0.8305084745762712,0.7203389830508474,0.7480916030534351,0.5542211042101086,0.7871485943775101,0.8596308532031026,196,170,66,40
2,29,PCA160-SRC (proposed),0.798728813559322,0.8135593220338984,0.7838983050847458,0.7901234567901234,0.5977206150779373,0.8016701461377871,0.8843184429761564,192,185,51,44
2,29,DeepLSE160-SRC,0.722457627118644,0.7245762711864406,0.7203389830508474,0.7215189873417721,0.44491924843117586,0.7230443974630021,0.7975797184717035,171,170,66,65
2,29,AE160-SRC,0.7521186440677966,0.7288135593220338,0.7754237288135594,0.7644444444444445,0.5047859119607837,0.7462039045553145,0.8417480609020397,172,183,53,64
2,29,CKSAAP-KPCA160-MP,0.7817796610169492,0.7796610169491526,0.7838983050847458,0.7829787234042553,0.563564381346156,0.7813163481953291,0.8774956908934214,184,185,51,52
2,29,CKSAAP-KPCA160-L1-SRC,0.777542372881356,0.7542372881355932,0.8008474576271186,0.7911111111111111,0.5556886929988459,0.7722342733188721,0.8830077563918413,178,189,47,58
2,29,AWMKPCA160-L1-SRC,0.7902542372881356,0.8347457627118644,0.7457627118644068,0.7665369649805448,0.5828204414727246,0.7991886409736308,0.8677104280379202,197,176,60,39
3,41,PCA160-SRC (proposed),0.7966101694915254,0.8177966101694916,0.7754237288135594,0.7845528455284553,0.5937536092036275,0.8008298755186722,0.8778368284975582,193,183,53,43
3,41,DeepLSE160-SRC,0.711864406779661,0.7457627118644068,0.6779661016949152,0.6984126984126984,0.42470599286468796,0.7213114754098361,0.7774525998276356,176,160,76,60
3,41,AE160-SRC,0.7309322033898306,0.7245762711864406,0.7372881355932204,0.7339055793991416,0.46190172798319495,0.7292110874200426,0.8157856937661592,171,174,62,65
3,41,CKSAAP-KPCA160-MP,0.7796610169491526,0.7711864406779662,0.788135593220339,0.7844827586206896,0.5594023904871686,0.7777777777777778,0.8689313415685147,182,186,50,54
3,41,CKSAAP-KPCA160-L1-SRC,0.7860169491525424,0.7754237288135594,0.7966101694915254,0.7922077922077922,0.572162324615991,0.7837259100642399,0.8752334099396725,183,188,48,53
3,41,AWMKPCA160-L1-SRC,0.7796610169491526,0.847457627118644,0.711864406779661,0.746268656716418,0.5645357513693777,0.7936507936507936,0.8548369721344442,200,168,68,36
4,53,PCA160-SRC (proposed),0.777542372881356,0.8008474576271186,0.7542372881355932,0.7651821862348178,0.5556886929988459,0.782608695652174,0.8710140764148233,189,178,58,47
4,53,DeepLSE160-SRC,0.7330508474576272,0.7457627118644068,0.7203389830508474,0.7272727272727273,0.4662524041201569,0.7364016736401674,0.78213875323183,176,170,66,60
4,53,AE160-SRC,0.7076271186440678,0.7033898305084746,0.711864406779661,0.7094017094017094,0.4152691495477525,0.7063829787234043,0.7873455903476012,166,168,68,70
4,53,CKSAAP-KPCA160-MP,0.7923728813559322,0.7966101694915254,0.788135593220339,0.7899159663865546,0.5847667616080596,0.7932489451476793,0.8821818442976156,188,186,50,48
4,53,CKSAAP-KPCA160-L1-SRC,0.7817796610169492,0.75,0.8135593220338984,0.8009049773755657,0.5647011125732232,0.774617067833698,0.8742279517380063,177,192,44,59
4,53,AWMKPCA160-L1-SRC,0.7711864406779662,0.826271186440678,0.7161016949152542,0.7442748091603053,0.5456946256837992,0.7831325301204819,0.8595051709278942,195,169,67,41
