repeat,seed,fold,method,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,0,PCA64-SRC,0.7395833333333334,0.6875,0.7916666666666666,0.7674418604651163,0.4817876613118741,0.7252747252747253,0.8181423611111112,33,38,10,15
0,6,0,RBF-SVM (520 descriptors),0.7708333333333334,0.6875,0.8541666666666666,0.825,0.5493502655735357,0.75,0.802517361111111,33,41,7,15
0,6,0,AntiDMPpred-RF (reimplemented),0.6458333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.2916666666666667,0.6458333333333334,0.7261284722222223,31,31,17,17
0,6,1,PCA64-SRC,0.6808510638297872,0.6808510638297872,0.6808510638297872,0.6808510638297872,0.3617021276595745,0.6808510638297872,0.7573562698053419,32,32,15,15
0,6,1,RBF-SVM (520 descriptors),0.6702127659574468,0.7872340425531915,0.5531914893617021,0.6379310344827587,0.3501504876259269,0.7047619047619048,0.7967406066093256,37,26,21,10
0,6,1,AntiDMPpred-RF (reimplemented),0.776595744680851,0.8723404255319149,0.6808510638297872,0.7321428571428571,0.563621480190678,0.7961165048543689,0.8709823449524672,41,32,15,6
0,6,2,PCA64-SRC,0.6382978723404256,0.6382978723404256,0.6382978723404256,0.6382978723404256,0.2765957446808511,0.6382978723404256,0.7125396106835672,30,30,17,17
0,6,2,RBF-SVM (520 descriptors),0.7127659574468085,0.6808510638297872,0.7446808510638298,0.7272727272727273,0.4264014327112209,0.7032967032967034,0.7904028972385696,32,35,12,15
0,6,2,AntiDMPpred-RF (reimplemented),0.7446808510638298,0.723404255319149,0.7659574468085106,0.7555555555555555,0.4898053664999539,0.7391304347826086,0.7919873245812584,34,36,11,13
0,6,3,PCA64-SRC,0.7446808510638298,0.7659574468085106,0.723404255319149,0.7346938775510204,0.4898053664999539,0.75,0.8266183793571752,36,34,13,11
0,6,3,RBF-SVM (520 descriptors),0.723404255319149,0.7659574468085106,0.6808510638297872,0.7058823529411765,0.4484354928469312,0.7346938775510204,0.8026256224535989,36,32,15,11
0,6,3,AntiDMPpred-RF (reimplemented),0.6595744680851063,0.7446808510638298,0.574468085106383,0.6363636363636364,0.32387513781564786,0.6862745098039216,0.7503395201448619,35,27,20,12
0,6,4,PCA64-SRC,0.7127659574468085,0.6595744680851063,0.7659574468085106,0.7380952380952381,0.4279604925109129,0.6966292134831461,0.7573562698053418,31,36,11,16
0,6,4,RBF-SVM (520 descriptors),0.723404255319149,0.5957446808510638,0.851063829787234,0.8,0.4621247905424446,0.6829268292682927,0.7329108193752829,28,40,7,19
0,6,4,AntiDMPpred-RF (reimplemented),0.648936170212766,0.6170212765957447,0.6808510638297872,0.6590909090909091,0.2984810028978546,0.6373626373626373,0.7095971027614305,29,32,15,18
1,17,0,PCA64-SRC,0.6041666666666666,0.5416666666666666,0.6666666666666666,0.6190476190476191,0.20998026278290402,0.5777777777777777,0.6979166666666666,26,32,16,22
1,17,0,RBF-SVM (520 descriptors),0.65625,0.5416666666666666,0.7708333333333334,0.7027027027027027,0.3210438768545213,0.611764705882353,0.7109375000000001,26,37,11,22
1,17,0,AntiDMPpred-RF (reimplemented),0.65625,0.625,0.6875,0.6666666666666666,0.3131121455425747,0.6451612903225806,0.7710503472222222,30,33,15,18
1,17,1,PCA64-SRC,0.7659574468085106,0.723404255319149,0.8085106382978723,0.7906976744186046,0.5338517771987276,0.7555555555555555,0.8275237664101404,34,38,9,13
1,17,1,RBF-SVM (520 descriptors),0.7553191489361702,0.7446808510638298,0.7659574468085106,0.7608695652173914,0.5107539184552492,0.7526881720430108,0.8044363965595291,35,36,11,12
1,17,1,AntiDMPpred-RF (reimplemented),0.6914893617021277,0.7446808510638298,0.6382978723404256,0.6730769230769231,0.38516444325982163,0.7070707070707071,0.776595744680851,35,30,17,12
1,17,2,PCA64-SRC,0.723404255319149,0.7446808510638298,0.7021276595744681,0.7142857142857143,0.4472135954999579,0.7291666666666666,0.8030783159800815,35,33,14,12
1,17,2,RBF-SVM (520 descriptors),0.6702127659574468,0.6595744680851063,0.6808510638297872,0.6739130434782609,0.3405026123034995,0.6666666666666666,0.7931190583974649,31,32,15,16
1,17,2,AntiDMPpred-RF (reimplemented),0.6170212765957447,0.723404255319149,0.5106382978723404,0.5964912280701754,0.23952695597013823,0.6538461538461539,0.7295156179266636,34,24,23,13
1,17,3,PCA64-SRC,0.6595744680851063,0.6595744680851063,0.6595744680851063,0.6595744680851063,0.3191489361702128,0.6595744680851063,0.7315527387958353,31,31,16,16
1,17,3,RBF-SVM (520 descriptors),0.7553191489361702,0.7659574468085106,0.7446808510638298,0.75,0.5107539184552492,0.7578947368421053,0.790855590765052,36,35,12,11
1,17,3,AntiDMPpred-RF (reimplemented),0.7127659574468085,0.7872340425531915,0.6382978723404256,0.6851851851851852,0.4303314829119352,0.7326732673267327,0.7702580353100951,37,30,17,10
1,17,4,PCA64-SRC,0.6702127659574468,0.6595744680851063,0.6808510638297872,0.6739130434782609,0.3405026123034995,0.6666666666666666,0.7623358985966502,31,32,15,16
1,17,4,RBF-SVM (520 descriptors),0.7021276595744681,0.6170212765957447,0.7872340425531915,0.7435897435897436,0.41024184123315394,0.6744186046511628,0.7713897691263014,29,37,10,18
1,17,4,AntiDMPpred-RF (reimplemented),0.6702127659574468,0.6808510638297872,0.6595744680851063,0.6666666666666666,0.3405026123034995,0.6736842105263158,0.7602987777274784,32,31,16,15
2,29,0,PCA64-SRC,0.6770833333333334,0.7291666666666666,0.625,0.660377358490566,0.3561039235783417,0.693069306930693,0.765625,35,30,18,13
2,29,0,RBF-SVM (520 descriptors),0.6458333333333334,0.625,0.6666666666666666,0.6521739130434783,0.2919201796799047,0.6382978723404256,0.7374131944444443,30,32,16,18
2,29,0,AntiDMPpred-RF (reimplemented),0.6666666666666666,0.6875,0.6458333333333334,0.66,0.3336230624913196,0.673469387755102,0.7430555555555555,33,31,17,15
2,29,1,PCA64-SRC,0.7340425531914894,0.7659574468085106,0.7021276595744681,0.72,0.469041575982343,0.7422680412371134,0.7899502037120869,36,33,14,11
2,29,1,RBF-SVM (520 descriptors),0.6382978723404256,0.6808510638297872,0.5957446808510638,0.6274509803921569,0.27760292414333837,0.6530612244897959,0.723404255319149,32,28,19,15
2,29,1,AntiDMPpred-RF (reimplemented),0.6382978723404256,0.7021276595744681,0.574468085106383,0.6226415094339622,0.2788775080910937,0.66,0.7247623358985967,33,27,20,14
2,29,2,PCA64-SRC,0.7127659574468085,0.7021276595744681,0.723404255319149,0.717391304347826,0.4256282653793743,0.7096774193548387,0.7799909461294703,33,34,13,14
2,29,2,RBF-SVM (520 descriptors),0.7659574468085106,0.6382978723404256,0.8936170212765957,0.8571428571428571,0.5501485601695769,0.7317073170731707,0.831145314622001,30,42,5,17
2,29,2,AntiDMPpred-RF (reimplemented),0.7659574468085106,0.8297872340425532,0.7021276595744681,0.7358490566037735,0.5363029001751802,0.78,0.8936170212765957,39,33,14,8
2,29,3,PCA64-SRC,0.648936170212766,0.5106382978723404,0.7872340425531915,0.7058823529411765,0.30996520993903337,0.5925925925925926,0.7342688999547307,24,37,10,23
2,29,3,RBF-SVM (520 descriptors),0.723404255319149,0.6595744680851063,0.7872340425531915,0.7560975609756098,0.45049443614715134,0.7045454545454546,0.7867813490267089,31,37,10,16
2,29,3,AntiDMPpred-RF (reimplemented),0.6595744680851063,0.6595744680851063,0.6595744680851063,0.6595744680851063,0.3191489361702128,0.6595744680851063,0.7539610683567225,31,31,16,16
2,29,4,PCA64-SRC,0.7553191489361702,0.7872340425531915,0.723404255319149,0.74,0.5116817192534651,0.7628865979381443,0.7953825260298779,37,34,13,10
2,29,4,RBF-SVM (520 descriptors),0.7340425531914894,0.7021276595744681,0.7659574468085106,0.75,0.469041575982343,0.7252747252747253,0.8361249434133091,33,36,11,14
2,29,4,AntiDMPpred-RF (reimplemented),0.7021276595744681,0.723404255319149,0.6808510638297872,0.6938775510204082,0.4046218244999619,0.7083333333333334,0.7530556813037573,34,32,15,13
3,41,0,PCA64-SRC,0.7604166666666666,0.7916666666666666,0.7291666666666666,0.7450980392156863,0.5218535759042912,0.7676767676767676,0.8372395833333334,38,35,13,10
