repeat,seed,method,accuracy,sensitivity,specificity,precision,mcc,f1,auc_roc,tp,tn,fp,fn
0,6,PCA64-SRC,0.7033898305084746,0.6864406779661016,0.7203389830508474,0.7105263157894737,0.4070135768850545,0.6982758620689655,0.773394857799483,162,170,66,74
0,6,RBF-SVM (520 descriptors),0.7203389830508474,0.7033898305084746,0.7372881355932204,0.7280701754385965,0.440931374958809,0.7155172413793104,0.7852449008905488,166,174,62,70
0,6,AntiDMPpred-RF (reimplemented),0.6949152542372882,0.7203389830508474,0.6694915254237288,0.6854838709677419,0.3903354341487251,0.7024793388429752,0.7667336972134443,170,158,78,66
1,17,PCA64-SRC,0.684322033898305,0.6652542372881356,0.7033898305084746,0.6916299559471366,0.36891242440007616,0.6781857451403888,0.7652255099109452,157,166,70,79
1,17,RBF-SVM (520 descriptors),0.7076271186440678,0.6652542372881356,0.75,0.7268518518518519,0.4167534631818602,0.6946902654867256,0.7749299770180982,157,177,59,79
1,17,AntiDMPpred-RF (reimplemented),0.6694915254237288,0.711864406779661,0.6271186440677966,0.65625,0.34020690871988585,0.6829268292682927,0.7599648089629416,168,148,88,68
2,29,PCA64-SRC,0.7055084745762712,0.6991525423728814,0.711864406779661,0.7081545064377682,0.41105016159972396,0.7036247334754797,0.7696782533754669,165,168,68,71
2,29,RBF-SVM (520 descriptors),0.701271186440678,0.6610169491525424,0.7415254237288136,0.7188940092165899,0.40385331131902513,0.6887417218543046,0.7759085033036484,156,175,61,80
2,29,AntiDMPpred-RF (reimplemented),0.6864406779661016,0.7203389830508474,0.652542372881356,0.6746031746031746,0.3737412737209254,0.6967213114754098,0.771644283251939,170,154,82,66
3,41,PCA64-SRC,0.6822033898305084,0.690677966101695,0.673728813559322,0.6791666666666667,0.36445913319618556,0.6848739495798319,0.7528727377190462,163,159,77,73
3,41,RBF-SVM (520 descriptors),0.7097457627118644,0.673728813559322,0.7457627118644068,0.726027397260274,0.4205841254154973,0.6989010989010989,0.7626759551852915,159,176,60,77
3,41,AntiDMPpred-RF (reimplemented),0.6864406779661016,0.711864406779661,0.6610169491525424,0.6774193548387096,0.37336432831617183,0.6942148760330579,0.7701181413386957,168,156,80,68
4,53,PCA64-SRC,0.690677966101695,0.6822033898305084,0.6991525423728814,0.6939655172413793,0.3814107207867058,0.688034188034188,0.7438415685147945,161,165,71,75
4,53,RBF-SVM (520 descriptors),0.6885593220338984,0.6652542372881356,0.711864406779661,0.6977777777777778,0.37752895936562814,0.6811279826464208,0.7577204826199369,157,168,68,79
4,53,AntiDMPpred-RF (reimplemented),0.6716101694915254,0.6949152542372882,0.6483050847457628,0.6639676113360324,0.34359377200692,0.6790890269151139,0.7577743464521689,164,153,83,72
